deviceId,strength started at
2896431648616743098,2021-10-07 15:59:04.868000 +00:00
2917596152234770616,2021-02-16 12:53:35.137000 +00:00
2930475827147571251,2020-10-07 11:39:17.386000 +00:00
2885129682712264863,2021-12-08 17:08:43.021000 +00:00
2889654258943131764,2021-01-29 12:06:20.135000 +00:00
2907068577490141206,2020-12-09 18:10:09.352000 +00:00
2905188163515318500,2021-03-10 14:01:47.484000 +00:00
2888394218617700541,2020-11-07 11:18:24.877000 +00:00
2935445877386379421,2020-08-22 11:26:39.944000 +00:00
2925189379536191580,2021-10-28 07:25:54.152000 +00:00
2897819232290996235,2020-09-08 16:37:57.904000 +00:00
2922388919125278827,2021-02-01 15:51:19.884000 +00:00
2901176298971857129,2020-11-11 10:38:44.449000 +00:00
2953359185233838291,2021-01-22 13:01:19.294000 +00:00
2916425425737482397,2020-12-09 11:04:33.800000 +00:00
2943377749974188053,2020-10-23 14:10:29.467000 +00:00
2924566214124503109,2020-11-25 11:55:15.757000 +00:00
2888412910315372688,2021-01-16 10:50:24.270000 +00:00
2942592445285662850,2020-09-08 16:36:14.860000 +00:00
2909390492661710919,2021-05-28 13:19:36.467000 +00:00
2929475275861262346,2020-10-01 13:05:57.958000 +00:00
2936394498239889511,2021-03-12 10:28:19.799000 +00:00
2904624371731529973,2020-09-14 14:34:45.601000 +00:00
2919998490668957897,2022-01-31 09:12:37.087000 +00:00
2944937703587709118,2021-01-14 17:12:33.463000 +00:00
2909905064103510194,2021-02-15 18:39:25.718000 +00:00
2922494472241545304,2020-10-23 07:47:12.177000 +00:00
2901604008995061815,2020-11-25 15:22:51.446000 +00:00
2943439073534017709,2020-11-10 07:59:44.758000 +00:00
2946678492470706377,2020-11-11 11:50:46.496000 +00:00
2941993215743492239,2020-11-10 07:59:12.240000 +00:00
2907972264412577884,2022-01-08 12:18:54.651000 +00:00
2948298914928787695,2020-10-02 15:47:18.205000 +00:00
2953860240447111339,2020-10-21 08:40:28.532000 +00:00
2935105874907103457,2021-03-06 12:00:50.898000 +00:00
2889183672261410978,2020-10-01 13:04:58.444000 +00:00
2907638970638663698,2021-02-25 13:29:57.601000 +00:00
2913220349342515375,2020-11-27 14:33:00.664000 +00:00
2947388515006021861,2021-02-23 08:46:53.107000 +00:00
2930533319546241060,2021-02-17 17:08:31.828000 +00:00
2917421587567214821,2020-10-20 10:17:38.805000 +00:00
2925067582836834409,2020-12-04 11:51:52.013000 +00:00
2947156522347528227,2021-06-16 12:38:24.138000 +00:00
2932198761868296423,2021-03-29 15:41:40.658000 +00:00
2947104841006055505,2021-03-02 15:01:17.648000 +00:00
2931855714240430087,2021-05-11 09:40:50.807000 +00:00
2884600817619304519,2021-10-20 15:20:04.021000 +00:00
2912717614847361058,2021-02-23 09:37:34.525000 +00:00
2892133911050059848,2020-12-09 10:49:30.895000 +00:00
2913278365777526992,2021-03-31 16:00:25.082000 +00:00
2894025826997633187,2021-12-07 16:17:46.868000 +00:00
2930486826558816262,2021-04-28 15:33:57.909000 +00:00
2884414248501379307,2021-05-05 07:00:58.635000 +00:00
2895148780523356192,2020-12-01 13:53:27.816000 +00:00
2886146726672990282,2021-10-16 11:36:59.644000 +00:00
2893034419663143035,2020-11-27 13:42:15.708000 +00:00
2928209733682724952,2021-01-26 08:52:59.641000 +00:00
2895784036267982887,2021-01-12 13:47:57.173000 +00:00
2889517829323751505,2021-12-07 16:33:12.239000 +00:00
2923335598636793928,2021-01-27 17:29:57.881000 +00:00
2927260017612554471,2020-10-06 10:37:15.533000 +00:00
2952169195858559027,2020-09-30 14:54:42.574000 +00:00
2903314501229084729,2021-10-23 10:32:37.265000 +00:00
2947165314145583253,2020-10-12 07:22:03.846000 +00:00
2926560470536028407,2020-10-06 12:25:24.181000 +00:00
2895834613802860642,2021-01-10 17:53:23.458000 +00:00
2906080966957072532,2021-06-30 14:30:45.255000 +00:00
2907050727622836478,2021-02-03 11:31:02.001000 +00:00
2951768969331081263,2021-01-15 15:01:30.663000 +00:00
2898531720120762593,2021-01-29 17:35:25.650000 +00:00
2910486705754603671,2021-03-10 10:19:34.212000 +00:00
2935954955565007039,2020-12-14 10:09:51.925000 +00:00
2928086850356641852,2020-09-03 10:27:24.829000 +00:00
2938653157099569179,2020-08-22 11:27:16.136000 +00:00
2899864323918659793,2021-03-12 12:30:07.076000 +00:00
2910508700282126460,2021-04-28 15:33:32.552000 +00:00
2884901074471223383,2021-01-27 17:29:14.097000 +00:00
2935672123395408063,2021-02-25 13:30:34.952000 +00:00
2924439508311081190,2020-10-02 15:45:52.137000 +00:00
2899212313523388447,2021-01-14 17:10:25.725000 +00:00
2915466651598061572,2020-11-04 12:47:31.022000 +00:00
2941749124162125868,2021-04-01 15:23:12.267000 +00:00
2888055826717605917,2020-11-04 14:08:06.545000 +00:00
2937807374976548872,2020-10-21 10:42:47.420000 +00:00
2926883726954594438,2021-01-16 10:48:06.576000 +00:00
